input,target
action: continue distance: 10 steps,"Walk forward for 10 steps."
action: turn direction: right distance: 15 steps,"Turn right and walk for 15 steps."
action: stop landmark: information desk,"Stop. You are at the information desk."
action: continue distance: 30 steps,"Continue straight for 30 steps."
action: turn direction: left distance: 20 steps,"Turn left and walk for 20 steps."
action: continue distance: 45 steps landmark: Sephora,"Walk straight for 45 steps to reach Sephora."
action: stop landmark: restroom,"Stop here. You have reached the restroom."
action: continue distance: 25 steps,"Walk straight for 25 steps."
action: turn direction: right distance: 5 steps,"Turn right and walk 5 steps."
action: stop landmark: ATM,"Stop. The ATM is directly in front of you."
action: continue distance: 55 steps,"Keep walking straight for 55 steps."
action: continue distance: 18 steps landmark: elevator,"Walk 18 steps straight to the elevator."
action: turn direction: left distance: 30 steps,"Turn left and continue for 30 steps."
action: stop landmark: Nike,"Stop. You have arrived at Nike."
action: continue distance: 40 steps,"Walk straight for 40 steps."
action: turn direction: right distance: 12 steps,"Turn right and walk for 12 steps."
action: continue distance: 22 steps landmark: pharmacy,"Walk 22 steps straight ahead to the pharmacy."
action: stop landmark: stairs,"Stop. The stairs are in front of you."
action: turn direction: left distance: 8 steps,"Turn left and take 8 steps."
action: continue distance: 50 steps landmark: Apple Store,"Walk straight for 50 steps to the Apple Store."
action: continue distance: 35 steps,"Continue forward for 35 steps."
action: turn direction: right distance: 20 steps,"Turn right and walk 20 steps."
action: stop landmark: security desk,"Stop. You have reached the security desk."
action: continue distance: 15 steps,"Walk straight for 15 steps."
action: turn direction: left distance: 25 steps,"Turn left and walk for 25 steps."
action: continue distance: 60 steps landmark: food court,"Walk 60 steps straight to the food court."
action: stop landmark: Zara,"Stop. You are at Zara."
action: continue distance: 42 steps,"Walk forward for 42 steps."
action: turn direction: right distance: 18 steps,"Turn right and walk for 18 steps."
action: stop landmark: seating area,"Stop here for the seating area."
action: continue distance: 28 steps,"Continue straight for 28 steps."
action: turn direction: left distance: 10 steps,"Turn left and walk 10 steps."
action: continue distance: 33 steps landmark: Uniqlo,"Walk 33 steps forward to reach Uniqlo."
